sample	r_nnls	r_simplex	l1	l2
ACB41	0.00000489080446881586	0.00000915110549304673	0.0000256550817450407	0.0000181408822738135
ACB43	0.0000122580668177213	0.0000112551042380426	0.000039073791269358	0.0000259176642328051
ACB44	0.0000123237533497346	0.000013128940498529	0.00000702211189748669	0.00000496538294096358
ACB45	0.000019704853031566	0.0000155802067473264	0.0000645865630970743	0.0000456695967394741
ACB46	0.0000106477392590858	0.00000975375373018646	0.0000221793613591897	0.0000156831768194699
ACB47	0.0000131847415981557	0.00000751091270672887	0.0000818791458139169	0.0000501970109020202
ACB48	0.0000457689201476498	0.0000503372533617859	0.0000683918636540104	0.0000483603505677365
ACB50	0.00000607670044458067	0.0000090575197390908	0.0000647902234740625	0.000043099096734284
ACB51	0.0000296935515316247	0.0000288186010106852	0.000139020074513524	0.0000868314617370105
ACB55	0.00000335540593612791	0.00000373756278660176	0.0000765147450950271	0.000048818974466747
ACB56	0.0000216356879135255	0.0000119736120178932	0.0000795680568057011	0.0000562631125331477
ACB57	0.000155907766667257	0.000122481684310185	0.000179821039199918	0.000127152676218274
ACB58	0.0000109034541011157	0.00000742840297299431	0.0000513659754790841	0.0000363212295835223
ACB59	0.0000070646885879942	0.00000810129349525019	0.0000195982139161166	0.0000138580299592306
ACB60	0.00000916760262333119	0.00000763755161369908	0.0000206409807628205	0.0000145953774677315
ACB61	0.0000179326786474677	0.0000145036903199382	0.0000378077409080996	0.0000267341099774612
ACB62	0.0000543605895937207	0.0000478670643393251	0.0000567733388423114	0.000040144812886
ACB63	0.00000577718637759293	0.00000675960867415058	0.0000653863542062929	0.0000400572319662405
ACB65	0.000005293183514878	0.00000638010377541389	0.0000236604416414266	0.0000145546291824386
ACB66	0.00000506432494444248	0.00000466618530856842	0.0000420386628155892	0.0000262580773059892
ACB68	0.0000231922222384995	0.0000201915969415992	0.0000401460829654726	0.0000283875675029634
ACB69	0.0000145538356645487	0.0000167647545221255	0.000100110708053758	0.0000627152160284713
ACB70	0.00000528700846466132	0.00000516575731945441	0.0000256171618477209	0.0000156997804577246
ACB71	0.00000954268970992229	0.00000461199600934084	0.0000161736219155585	0.0000108956797368652
ACB72	0.0000103757525391768	0.00000608371101007413	0.0000165080671850892	0.0000116729662508597
ACB73	0.000146999571818674	0.000105535692186961	0.000172490511277879	0.000121969210214923
ACB74	0.0000109293525053021	0.0000191946585724051	0.0000419098522617843	0.0000256681908544671
ACB75	0.0000227971721322212	0.0000228078898960549	0.0000106290320587982	0.0000075158606462254
ACB76	0.000089210453031581	0.0000609319578197024	0.000202750832714788	0.000143366488703846
ACB77	0.00000436310050290136	0.00000546258991759952	0.000202900019565494	0.000115731087493094
ACB78	0.000102430539379231	0.0000530099555356985	0.000209860917125548	0.000148394077605503
ACB79	0.0000268414884166844	0.0000245342527476299	0.0000618394910987807	0.000043727123501073
ACB81	0.0000185453429884545	0.0000184224203041014	0.0000603649419399221	0.0000426844597916512
ACB82	0.00000877933365013508	0.0000134908840318535	0.0000606135710783801	0.0000428602671414553
ACB84	0.0000075090990075886	0.00000927203650086641	0.0000262002410844342	0.0000185263681395258
ACB85	0.00000765973427605464	0.00000880387141280208	0.0000180672377004185	0.0000127754662952751
ACB86	0.0000999558026975731	0.000074608574488865	0.000122186136459099	0.0000790461278527123
ACB87	0.00000441878856087857	0.00000561721565572876	0.00000948582924845121	0.00000670749418675754
ACB88	0.000015105462498547	0.0000136492544912364	0.0000467200984262811	0.0000330360984149263
ACB90	0.0000131202746958802	0.0000126419356318043	0.0001116067608362	0.0000693100386464924
ACB91	0.00000828065017182007	0.00000660887083422614	0.00000376821189899956	0.00000266452818673043
ACB92	0.00000948760808553205	0.00000986597892414619	0.0000534589432207608	0.0000354352214307745
ACB93	0.000015147006861841	0.00000813896361629551	0.0000517822515266053	0.0000366155811995701
ACB94	0.000030873222367122	0.0000330007866109593	0.000119238700315744	0.0000843144935731328
ACB96	0.00000914854448614617	0.0000121327701375758	0.0000579157259951789	0.0000361680668084719
ACB98	0.0000053458495268417	0.00000558959826956073	0.000033724730246429	0.0000208265323622857
ACB99	0.0000317144365761606	0.0000261612197576575	0.000027398514486604	0.0000193736753879156
ACB100	0.000014751860057518	0.00000910895993799092	0.000173293153840792	0.000122536764214028
ACB102	0.00000926506575983819	0.0000135888153176426	0.0000687218153613278	0.0000485936616574447
ACB103	0.0000102458152439153	0.0000086907443851111	0.0000228703544494363	0.0000161717827193363
ACB104	0.00000627041737586029	0.00000487142161254842	0.00000438826463924208	0.00000310297168404921
ACB105	0.0000305569231671292	0.0000149063374394362	0.000230237420387643	0.000144239422012553
ACB106	0.0000283501685085239	0.0000417815071398898	0.000125247921189035	0.0000778310982343868
ACB107	0.000010510518346692	0.000010370276730986	0.0000903937489390196	0.00005619776818827
ACB108	0.0000131316680089169	0.0000175573523936498	0.0000588403601321005	0.000037381261226936
ACB109	0.00000199303627181866	0.00000275446631083616	0.0000360723271112702	0.0000223594926551254
